227,0|0-6-8-2-20|1,0|2-6|38,0|2-6-8|2,1|6|4,0|2-20|27,0|8|949,0|6-2-0|1
871,0|48-127-42|1,1|3-42|1,0|3-1-48|1,0|3-1-127-48|1,0|3-42|25,0|1-48|23,0|42|885
391,0|3-26|34,0|26-3-142|1,0|26-3|30,0|18-5-142|2,0|3-18|39,0|3-18-5|1,0|3-26-18|1
168,1|5|3,1|6|1,0|5-0|32,0|0-3-70|4,0|0-3-70-6|1,0|6-70-3|1
182,0|171-3-41|1,0|68-171|30,0|20-3|35,0|171|898,0|20-68-3|1,0|20-41-171|1,0|20-68-41|1
794,0|160-532|28,0||18448,0|160-6-16|4,1|5-6|1,0|16|894,0|6-5-532|1,1|532|4
980,0|25-130-3|1,1|3|2,1|532-3|1,0|9-532|35,0|3|911,0|9-25-130|1,1|3-9|1
62,0|3-8|42,0|8-0|24,0|5-8|26,0|8-5-20|1,0|5-0-8|2,0|3-0-5|1,0|5-0-3|1
972,0|0-28-125|1,0|15-0|31,1|28|3,0|0-15-28|2,0|0|916,1|15|1
223,0|2-0-25|2,0|13-2|33,0|2-5-0|2,0|25-5|34,0|25-2|33,0|25-0-13-5|1,0|2-25-5-0|1
362,0|121-122-1|1,0|8-1-122|1,0|121-118-122|2,0||18431,0|118-121|27,0|122-1-8|2,1|121|2
397,0|50-220-112|2,0|220-0|30,1|2-220|1,0|220-112|34,0|50-2-112|1,0|50-0|32,0|50-2|37,1|50-0-2|1
682,0|1-2|30,0|1-6|34,1|236|1,0|3-6-236|1,0|3-236-6|3,1|3|4,0|3-1-6|1
93,1||1269,0||18415,0|41-3|30,1|1|4,0|3-1-69|1,0|1-3-41|1,0|6-69-1|1,0|6-69|28
869,0|0-850-21|2,0|0-407-171|4,1|407|2,0|407-21-171|1,0|21|847,0|171|910
276,1|1-5|2,0|49-5-0|1,0|5-1-18|1,0|49-0|35,0|18-49|23,0|0-5|44
558,0|4-5|27,0|0-3-5|2,0|0-3-4|4,0|4-3-0|1,0|0-4-5-25|1,0|3-4-5|4
514,0|429-125|36,0|125-18-0|1,0|125-0|23,0|429-41-0|1,0|41-429-0|1,0|18-41-0|3,0|125-18-41|1
692,0|160-33|34,0|33|865,0|3-0-160|1,0|160-3|34,0|33-0-1-3|1,0|3-33-160|1,0|0-160-3|2
375,0|8-15-12|2,0|15-8|35,0|66-15-12|2,0|15-12-6|2,0|12-66|39,0|6-12-66|2
374,1||1286,0|3-87-272|2,0|87|933,1|272|3,1|9|3,0|87-272-3|1
299,0|0-120|33,0|10-120-8|1,0|0-43|25,0|10|947,0|10-8-0|2,0|0|901,0|43-120-10|1
120,0|6-5|34,0|8-5|32,0|8-28|32,0|8-1|18,0|28-1-5|1,0|6|909
99,0|7-0|35,0|56-0-7|2,0|1-56-0|2,0|1|899,0|56-1|29,0|56-0|39,1|59-0|1
452,0|93-3-1|2,1|93-3|1,1|12-1|1,0|3-1-12|1,1|0-12|1,0|93-1-0|2,0|0-93-1|3,0|93-1-3|1
76,0|1-13|31,0|4-47-1|2,0|4-0-47|1,0|13-4|27,0|0-47-4|1,0|47-1-0|1,0|4-47-0-13|1
734,0|39-31-212|1,0|31-39|36,0|39-6|29,0|203-39-6|1,1|203-6|1,1|212|4,0|31-212-39|2
358,1||1329,0|1-2-9|2,0|2|907,0|9-1-2|3,0|9-2-1|1,0|9-2-43|1
344,0|33-3-28|2,0|35-4-33|1,0|33-3-35|3,0|3-4-28-33|1,1|4-35|1,0|4-33|40,0|35-3-28|1
405,0|1-0|32,0|0-3-1|2,0|0-3-68|3,0|3-227-68|1,1|0|3,0|227-1-0|1,0|68-0|42
607,1||1222,0|1-12|33,0|12-53|34,0|12-1-5|1,0|53-5|28,0|1-5-161|1
306,0|5-127-2|2,1|3-0|1,0|2-5-3|1,0|3-2|26,0|0-5-3|1,1|127-2|1,0|127-0-3|1,1|2-5|1
394,0|4-49-3|1,0|28-9|20,0||18540,1|28|3,0|49-9-3|1,0|3-4-28|1,0|28-49|31
847,1|23-1|1,0|52-20-1|1,0|9-1-23|1,0|23-52-9|3,0|20-23-1|2,0|52-23|41,0|23-1|25
828,0|2-4|40,0|227-0|26,1|227-0-2|1,0|250-4|28,0|227-250-4|1,1|4-2|1,0|2-4-250|1
